entry_index	manifest_line	key	path	status	context	source	target	source_state	expected_count	source_count	target_count	decision	confidence	risk_tags	public_rc_rows	token_status	glossary_status	copy_status	functional_status	notes
1571	11090		app/src/settings_view/mcp_servers/update_modal.rs	active	Legacy reviewed zh-Hans localization entry	a team member	团队成员	target-present		0	1	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
1572	11097		app/src/settings_view/mcp_servers/update_modal.rs	active	Legacy reviewed zh-Hans localization entry	Update from {publisher_string}	从 {publisher_string} 更新	target-present		0	1	simulated-accepted-with-note	medium	dynamic-placeholder		clean	clean	clean	clean	none
1573	11104		app/src/settings_view/mcp_servers/update_modal.rs	active	Legacy reviewed zh-Hans localization entry	Update from {name}	从 {name} 更新	target-present		0	1	simulated-accepted-with-note	medium	dynamic-placeholder		clean	clean	clean	clean	none
1574	11111		app/src/settings_view/mcp_servers/update_modal.rs	active	Legacy reviewed zh-Hans localization entry	Version {new_version}	版本 {new_version}	target-present		0	1	simulated-accepted-with-note	medium	dynamic-placeholder		clean	clean	clean	clean	none
1575	11118		app/src/settings_view/mcp_servers/update_modal.rs	active	Legacy reviewed zh-Hans localization entry	Cancel	取消	target-and-source-present		6	1	simulated-accepted	high			clean	clean	clean	clean	none
1576	11125		app/src/settings_view/mcp_servers/update_modal.rs	active	Legacy reviewed zh-Hans localization entry	Update	更新	target-and-source-present		34	6	simulated-accepted	high			clean	clean	clean	clean	none
1577	11132		app/src/settings_view/mcp_servers/update_modal.rs	active	Legacy reviewed zh-Hans localization entry	No updates available	没有可用更新	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
1578	11139		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Environments	环境	target-and-source-present		65	19	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1579	11146		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Environments define where your ambient agents run. Set one up in minutes via GitHub (recommended), Warp-assisted setup, or manual configuration.	环境定义你的 Ambient Agent 在哪里运行。你可以通过 GitHub（推荐）、Warp 辅助设置或手动配置在几分钟内完成设置。	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1580	11153		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Last edited: {}	上次编辑：{}	target-present		0	1	simulated-accepted-with-note	medium	dynamic-placeholder;environment-endpoint		clean	clean	clean	clean	none
1581	11160		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Last used: {}	上次使用：{}	target-present		0	1	simulated-accepted-with-note	medium	dynamic-placeholder;environment-endpoint		clean	clean	clean	clean	none
1582	11167		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Last used: never	上次使用：从未	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1583	11174		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Search environments...	搜索环境...	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1584	11181		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Successfully updated environment	环境已成功更新	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1585	11188		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Successfully created environment	环境已成功创建	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1586	11195		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Environment deleted successfully	环境已成功删除	target-present		0	1	blocked-public-rc	medium	destructive-action;environment-endpoint	GUI-SET-06	clean	clean	clean	clean	none
1587	11202		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Successfully shared environment	环境已成功共享	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1588	11209		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Failed to share environment with team	无法与团队共享环境	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint;team-workspace		clean	clean	clean	clean	none
1589	11216		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Unable to create environment: not logged in.	无法创建环境：尚未登录。	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1590	11223		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Unable to save: environment no longer exists.	无法保存：环境已不存在。	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1591	11230		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Unable to share environment: you are not currently on a team.	无法共享环境：你当前不在团队中。	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint;team-workspace		clean	clean	clean	clean	none
1592	11237		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Unable to share environment: environment is not yet synced.	无法共享环境：环境尚未同步。	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1593	11244		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	No environments match your search.	没有与搜索匹配的环境。	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1594	11251		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Personal	个人	target-and-source-present		6	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1595	11258		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Shared by Warp and {}	由 Warp 和 {} 共享	target-present		0	1	simulated-accepted-with-note	medium	dynamic-placeholder;environment-endpoint		clean	clean	clean	clean	none
1596	11265		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Shared by Warp and your team	由 Warp 和你的团队共享	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint;team-workspace		clean	clean	clean	clean	none
1597	11272		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Loading...	正在加载...	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1598	11279		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Retry	重试	target-and-source-present		3	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1599	11286		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Authorize	授权	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1600	11293		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Get started	开始使用	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1601	11300		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Launch agent	启动 Agent	target-present		0	2	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1602	11307		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Quick setup	快速设置	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1603	11314		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Suggested	推荐	target-present		0	2	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1604	11321		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Select the GitHub repositories you’d like to work with and we’ll suggest a base image and config	选择你想使用的 GitHub 仓库，我们会建议基础镜像和配置	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1605	11328		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Use the agent	使用 Agent	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1606	11335		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Choose a locally set up project and we’ll help you set up an environment based on it	选择一个本地已设置的项目，我们会基于它帮助你设置环境	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1607	11342		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	You haven’t set up any environments yet.	你还没有设置任何环境。	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1608	11349		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Choose how you’d like to set up your environment:	选择你想如何设置环境：	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1609	11356		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Setup commands: {}	设置命令：{}	target-present		0	1	simulated-accepted-with-note	medium	dynamic-placeholder;environment-endpoint;terminal-command		clean	clean	clean	clean	none
1610	11363		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	View my runs	查看我的运行	target-and-source-present		1	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1611	11370		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Share	共享	target-and-source-present		5	7	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1612	11377		app/src/settings_view/environments_page.rs	active	Legacy reviewed zh-Hans localization entry	Edit	编辑	target-and-source-present		17	2	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1613	11384		app/src/settings_view/agent_assisted_environment_modal.rs	active	Legacy reviewed zh-Hans localization entry	Add repo	添加仓库	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1614	11391		app/src/settings_view/agent_assisted_environment_modal.rs	active	Legacy reviewed zh-Hans localization entry	Cancel	取消	target-and-source-present		7	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1615	11398		app/src/settings_view/agent_assisted_environment_modal.rs	active	Legacy reviewed zh-Hans localization entry	Create environment	创建环境	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1616	11405		app/src/settings_view/agent_assisted_environment_modal.rs	active	Legacy reviewed zh-Hans localization entry	Selected repos	已选择仓库	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1617	11412		app/src/settings_view/agent_assisted_environment_modal.rs	active	Legacy reviewed zh-Hans localization entry	No repos selected yet	尚未选择仓库	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1618	11419		app/src/settings_view/agent_assisted_environment_modal.rs	active	Legacy reviewed zh-Hans localization entry	Available indexed repos	可用的已索引仓库	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1619	11426		app/src/settings_view/agent_assisted_environment_modal.rs	active	Legacy reviewed zh-Hans localization entry	Loading locally indexed repos…	正在加载本地已索引仓库…	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1620	11433		app/src/settings_view/agent_assisted_environment_modal.rs	active	Legacy reviewed zh-Hans localization entry	No locally indexed repos found yet. Index a repo, then try again.	尚未找到本地已索引仓库。请先索引一个仓库，然后重试。	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1621	11440		app/src/settings_view/agent_assisted_environment_modal.rs	active	Legacy reviewed zh-Hans localization entry	Local repo selection is unavailable in this build.	此构建中无法选择本地仓库。	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1622	11447		app/src/settings_view/agent_assisted_environment_modal.rs	active	Legacy reviewed zh-Hans localization entry	All locally indexed repos are already selected.	所有本地已索引仓库都已选择。	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1623	11454		app/src/settings_view/agent_assisted_environment_modal.rs	active	Legacy reviewed zh-Hans localization entry	Selected folder is not a Git repository: {path}	所选文件夹不是 Git 仓库：{path}	target-present		0	1	simulated-accepted-with-note	medium	dynamic-placeholder;environment-endpoint		clean	clean	clean	clean	none
1624	11461		app/src/settings_view/agent_assisted_environment_modal.rs	active	Legacy reviewed zh-Hans localization entry	Select locally indexed repos to provide context for the environment creation agent.	选择本地已索引仓库，为环境创建 Agent 提供上下文。	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1625	11468		app/src/settings_view/agent_assisted_environment_modal.rs	active	Legacy reviewed zh-Hans localization entry	Select repos to provide context for the environment creation agent.	选择仓库，为环境创建 Agent 提供上下文。	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1626	11475		app/src/settings_view/agent_assisted_environment_modal.rs	active	Legacy reviewed zh-Hans localization entry	Select repos for your environment	为你的环境选择仓库	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1627	11482		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Browse GitHub repos...	浏览 GitHub 仓库...	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1628	11489		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Docker image	Docker 镜像	target-and-source-present		2	7	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1629	11496		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Press Enter or click the submit button to add each command.	按 Enter 或点击提交按钮以添加每条命令。	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint;terminal-command		clean	clean	clean	clean	none
1630	11503		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Environment name	环境名称	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1631	11510		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Docker image reference	Docker 镜像引用	target-and-source-present		1	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1632	11517		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Setup commands run independently. Each command runs from the workspace root (/workspace). If a command depends on the previous one, combine them with &&.	设置命令会独立运行。每条命令都从工作区根目录（/workspace）运行。如果某条命令依赖上一条，请用 && 将它们合并。	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint;team-workspace;terminal-command		clean	clean	clean	clean	none
1633	11524		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Enter repos (owner/repo format)	输入仓库（owner/repo 格式）	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint;team-workspace		clean	clean	clean	clean	none
1634	11531		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Paste repo URL(s)	粘贴仓库 URL	target-present		0	3	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1635	11538		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Create	创建	target-and-source-present		22	5	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1636	11545		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Delete environment	删除环境	target-present		0	1	blocked-public-rc	medium	destructive-action;environment-endpoint	GUI-SET-06	clean	clean	clean	clean	none
1637	11552		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Cancel	取消	target-and-source-present		9	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1638	11559		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Create environment	创建环境	target-present		0	2	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1639	11566		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Save	保存	target-and-source-present		3	3	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1640	11573		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Save environment	保存环境	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1641	11580		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Couldn't load GitHub repos. You can paste repo URL(s), or retry.	无法加载 GitHub 仓库。你可以粘贴仓库 URL，或重试。	target-present		0	2	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1642	11587		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Failed to suggest a Docker image	无法建议 Docker 镜像	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1643	11594		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Share with team	与团队共享	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint;team-workspace		clean	clean	clean	clean	none
1644	11601		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Personal environments cannot be used with external integrations or team API keys. For the best experience, use shared environments.	个人环境不能与外部集成或团队 API 密钥一起使用。为获得最佳体验，请使用共享环境。	target-present		0	1	blocked-public-rc	medium	api-key-secret;environment-endpoint;team-workspace	GUI-WS-04	clean	clean	clean	clean	none
1645	11608		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Edit environment	编辑环境	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1646	11615		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Setup command(s)	设置命令	target-present		0	2	simulated-accepted-with-note	medium	environment-endpoint;terminal-command		clean	clean	clean	clean	none
1647	11622		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Description	描述	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1648	11629		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	{char_count} / {DESCRIPTION_MAX_CHARS} characters	{char_count} / {DESCRIPTION_MAX_CHARS} 个字符	target-present		0	1	simulated-accepted-with-note	medium	dynamic-placeholder;environment-endpoint		clean	clean	clean	clean	none
1649	11636		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Repo(s)	仓库	target-present		0	14	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1650	11643		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Loading...	正在加载...	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1651	11650		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Auth with GitHub	使用 GitHub 授权	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1652	11657		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Failed to load GitHub repositories	无法加载 GitHub 仓库	target-present		0	3	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1653	11664		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Retry	重试	target-and-source-present		4	3	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1654	11671		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Type owner/repo and press Enter to add, or select from dropdown.	输入 owner/repo 并按 Enter 添加，或从下拉菜单中选择。	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint;team-workspace		clean	clean	clean	clean	none
1655	11678		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Missing a repo?	缺少某个仓库？	target-and-source-present		1	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1656	11685		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Configure access on GitHub	在 GitHub 上配置访问权限	target-and-source-present		1	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1657	11692		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	No repositories found	未找到仓库	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1658	11699		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Generating…	正在生成…	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1659	11706		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Suggest image	建议镜像	target-and-source-present		2	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1660	11713		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Warp will suggest a Docker image based on your selected repositories.	Warp 会根据你选择的仓库建议 Docker 镜像。	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1661	11720		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Authenticate	认证	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1662	11727		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	You need to grant access to your GitHub repos to suggest a Docker image	需要授予 GitHub 仓库访问权限，才能建议 Docker 镜像	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1663	11734		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Launch agent	启动 Agent	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1664	11741		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	We couldn't find a good match. We recommend using a custom Docker image for these repos.	我们找不到合适的匹配项。建议为这些仓库使用自定义 Docker 镜像。	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1665	11748		app/src/settings_view/update_environment_form.rs	active	Legacy reviewed zh-Hans localization entry	Name	名称	target-and-source-present		1	2	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
1666	11755		app/src/settings_view/platform_page.rs	active	Legacy reviewed zh-Hans localization entry	Search API keys	搜索 API 密钥	target-present		0	1	blocked-public-rc	medium	api-key-secret	GUI-WS-04	clean	clean	clean	clean	none
1667	11762		app/src/settings_view/platform_page.rs	active	Legacy reviewed zh-Hans localization entry	New API key	新建 API 密钥	target-present		0	2	blocked-public-rc	medium	api-key-secret	GUI-WS-04	clean	clean	clean	clean	none
1668	11769		app/src/settings_view/platform_page.rs	active	Legacy reviewed zh-Hans localization entry	Save your key	保存你的密钥	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
1669	11776		app/src/settings_view/platform_page.rs	active	Legacy reviewed zh-Hans localization entry	API key deleted	API 密钥已删除	target-present		0	1	blocked-public-rc	medium	api-key-secret;destructive-action	GUI-WS-04	clean	clean	clean	clean	none
1670	11783		app/src/settings_view/platform_page.rs	active	Legacy reviewed zh-Hans localization entry	Documentation.	文档。	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
1671	11790		app/src/settings_view/platform_page.rs	active	Legacy reviewed zh-Hans localization entry	Oz Cloud API Keys	Oz Cloud API 密钥	target-present		0	1	blocked-public-rc	medium	api-key-secret	GUI-WS-04	clean	clean	clean	clean	none
1672	11797		app/src/settings_view/platform_page.rs	active	Legacy reviewed zh-Hans localization entry	+ Create API Key	+ 创建 API 密钥	target-present		0	1	blocked-public-rc	medium	api-key-secret	GUI-WS-04	clean	clean	clean	clean	none
1673	11804		app/src/settings_view/platform_page.rs	active	Legacy reviewed zh-Hans localization entry	Name	名称	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none
1674	11811		app/src/settings_view/platform_page.rs	active	Legacy reviewed zh-Hans localization entry	Key	密钥	target-and-source-present		63	12	simulated-accepted	high			clean	clean	clean	clean	none
1675	11818		app/src/settings_view/platform_page.rs	active	Legacy reviewed zh-Hans localization entry	Scope	范围	target-and-source-present		8	1	simulated-accepted	high			clean	clean	clean	clean	none
1676	11825		app/src/settings_view/platform_page.rs	active	Legacy reviewed zh-Hans localization entry	Created	已创建	target-and-source-present		1	1	simulated-accepted	high			clean	clean	clean	clean	none
1677	11832		app/src/settings_view/platform_page.rs	active	Legacy reviewed zh-Hans localization entry	Last used	上次使用	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
1678	11839		app/src/settings_view/platform_page.rs	active	Legacy reviewed zh-Hans localization entry	Expires at	过期时间	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
1679	11846		app/src/settings_view/platform_page.rs	active	Legacy reviewed zh-Hans localization entry	Never	永不	target-present		0	2	simulated-accepted	high			clean	clean	clean	clean	none
1680	11853		app/src/settings_view/platform_page.rs	active	Legacy reviewed zh-Hans localization entry	Personal	个人	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none
1681	11860		app/src/settings_view/platform_page.rs	active	Legacy reviewed zh-Hans localization entry	Team	团队	target-and-source-present		6	1	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
1682	11867		app/src/settings_view/platform_page.rs	active	Legacy reviewed zh-Hans localization entry	Agent	Agent	target-and-source-present		9	9	simulated-accepted-with-note	medium			clean	clean	note	clean	English preserved; verify this is product/internal text
1683	11874		app/src/settings_view/platform_page.rs	active	Legacy reviewed zh-Hans localization entry	No API Keys	没有 API 密钥	target-present		0	1	blocked-public-rc	medium	api-key-secret	GUI-WS-04	clean	clean	clean	clean	none
1684	11881		app/src/settings_view/platform_page.rs	active	Legacy reviewed zh-Hans localization entry	Create a key to manage external access to Warp	创建密钥以管理对 Warp 的外部访问	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
1685	11888		app/src/settings_view/platform_page.rs	active	Legacy reviewed zh-Hans localization entry	No API keys match your search	没有与搜索匹配的 API 密钥	target-present		0	1	blocked-public-rc	medium	api-key-secret	GUI-WS-04	clean	clean	clean	clean	none
1686	11895		app/src/settings_view/platform/create_api_key_modal.rs	active	Legacy reviewed zh-Hans localization entry	This API key is tied to your user and can make requests against your Warp account.	此 API 密钥与你的用户绑定，可以向你的 Warp 账号发起请求。	target-present		0	1	blocked-public-rc	medium	api-key-secret	GUI-WS-04	clean	clean	clean	clean	none
1687	11902		app/src/settings_view/platform/create_api_key_modal.rs	active	Legacy reviewed zh-Hans localization entry	This API key is tied to your team and can make requests on behalf of your team.	此 API 密钥与你的团队绑定，可以代表你的团队发起请求。	target-present		0	1	blocked-public-rc	medium	api-key-secret;team-workspace	GUI-WS-04	clean	clean	clean	clean	none
1688	11909		app/src/settings_view/platform/create_api_key_modal.rs	active	Legacy reviewed zh-Hans localization entry	This API key is tied to an agent and can make requests on behalf of the agent.	此 API 密钥与某个 Agent 绑定，可以代表该 Agent 发起请求。	target-present		0	1	blocked-public-rc	medium	api-key-secret	GUI-WS-04	clean	clean	clean	clean	none
1689	11916		app/src/settings_view/platform/create_api_key_modal.rs	active	Legacy reviewed zh-Hans localization entry	1 day	1 天	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
1690	11923		app/src/settings_view/platform/create_api_key_modal.rs	active	Legacy reviewed zh-Hans localization entry	30 days	30 天	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
1691	11930		app/src/settings_view/platform/create_api_key_modal.rs	active	Legacy reviewed zh-Hans localization entry	90 days	90 天	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
