entry_index	manifest_line	module_group	path	source_state	source	target	decision	rationale
4092	28585	auth-account	app/src/auth/auth_manager.rs	target-and-source-present	Failed to fetch custom token for authenticating anonymous user in browser: {e:?}	Failed to fetch custom token for authenticating anonymous user in browser: {e:?}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4093	28592	auth-account	app/src/auth/auth_override_warning_body.rs	target-and-source-present	AuthOverrideWarningBody	AuthOverrideWarningBody	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
4094	28599	auth-account	app/src/auth/auth_state.rs	target-and-source-present	{API_KEY_PREFIX}{api_key_value}	{API_KEY_PREFIX}{api_key_value}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4095	28606	auth-account	app/src/auth/auth_state.rs	target-and-source-present	Found persisted user with empty refresh token; clearing secure storage entry	Found persisted user with empty refresh token; clearing secure storage entry	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4096	28613	auth-account	app/src/auth/auth_state.rs	target-and-source-present	Tried to update Firebase tokens without Firebase credentials	Tried to update Firebase tokens without Firebase credentials	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4097	28620	auth-account	app/src/auth/auth_view_body.rs	target-and-source-present	Anonymous user initiated sign-up from unexpected AuthView variant	Anonymous user initiated sign-up from unexpected AuthView variant	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4098	28627	auth-account	app/src/auth/auth_view_body.rs	target-and-source-present	AuthViewBody	AuthViewBody	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
4099	28634	auth-account	app/src/auth/auth_view_modal.rs	target-and-source-present	Received URL without refresh token query param: {}	Received URL without refresh token query param: {}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4100	28641	auth-account	app/src/auth/credentials.rs	target-and-source-present	returnSecureToken	returnSecureToken	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
4101	28648	auth-account	app/src/auth/login_slide.rs	target-and-source-present	Phenomenon	Phenomenon	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4102	28655	auth-account	app/src/auth/login_slide.rs	target-and-source-present	Dark	Dark	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4103	28662	auth-account	app/src/auth/login_slide.rs	target-and-source-present	Light	Light	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4104	28669	auth-account	app/src/auth/login_slide.rs	target-and-source-present	Adeberry	Adeberry	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4105	28676	auth-account	app/src/auth/mod.rs	target-and-source-present	wk-	wk-	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4106	28683	auth-account	app/src/auth/mod.rs	target-and-source-present	Failed to remove Crash Reporting Enabled Defaults Key from user defaults: {e:?}	Failed to remove Crash Reporting Enabled Defaults Key from user defaults: {e:?}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4116	28753	billing-quota	app/src/billing/shared_objects_creation_denied_body.rs	target-and-source-present	SharedObjectsCreationDeniedBody	SharedObjectsCreationDeniedBody	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
4134	28879	warp-drive	app/src/drive/export.rs	target-and-source-present	Exporting {id:?} failed	Exporting {id:?} failed	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4135	28886	warp-drive	app/src/drive/export.rs	target-and-source-present	Exporting {id:?} failed: {error:#}	Exporting {id:?} failed: {error:#}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4141	28928	warp-drive	app/src/drive/import/modal_body.rs	target-and-source-present	md, yaml, yml	md, yaml, yml	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4142	28935	warp-drive	app/src/drive/import/modal_body.rs	target-and-source-present	ImportModalBody	ImportModalBody	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
4145	28956	warp-drive	app/src/drive/index.rs	target-and-source-present	Notebook	Notebook	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4168	29117	warp-drive	app/src/drive/index.rs	target-and-source-present	WarpDrive_TrashButton	WarpDrive_TrashButton	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4183	29222	warp-drive	app/src/drive/index.rs	target-and-source-present	AI Fact	AI Fact	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4185	29236	warp-drive	app/src/drive/index.rs	target-and-source-present	MCP Server	MCP Server	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4188	29257	warp-drive	app/src/drive/index.rs	target-and-source-present	{banner_line_1} {SHARED_OBJECT_LIMIT_HIT_BANNER_LINE}	{banner_line_1} {SHARED_OBJECT_LIMIT_HIT_BANNER_LINE}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4190	29271	warp-drive	app/src/drive/index.rs	target-and-source-present	{PAYMENT_ISSUE_BANNER_LINE_1} {banner_line_2}	{PAYMENT_ISSUE_BANNER_LINE_1} {banner_line_2}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4203	29362	warp-drive	app/src/drive/index.rs	target-and-source-present	section_position_{section:?}	section_position_{section:?}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4204	29369	warp-drive	app/src/drive/index.rs	target-and-source-present	DriveIndex	DriveIndex	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
4205	29376	warp-drive	app/src/drive/index.rs	target-and-source-present	DisableDriveIndexVimKeybindings	DisableDriveIndexVimKeybindings	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
4206	29383	warp-drive	app/src/drive/index.rs	target-and-source-present	Use DriveIndexAction::OpenWorkflowModal to open the modal instead	Use DriveIndexAction::OpenWorkflowModal to open the modal instead	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4207	29390	warp-drive	app/src/drive/index.rs	target-and-source-present	Use DriveIndexAction::OpenMCPServerCollection to open the pane view instead	Use DriveIndexAction::OpenMCPServerCollection to open the pane view instead	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4210	29411	warp-drive	app/src/drive/items/item.rs	target-and-source-present	{edits}  |  {actions}	{edits}  |  {actions}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4211	29418	warp-drive	app/src/drive/items/item.rs	target-and-source-present	From 	From 	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4216	29453	warp-drive	app/src/drive/items/mod.rs	target-and-source-present	AI_fact_collection	AI_fact_collection	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4217	29460	warp-drive	app/src/drive/items/mod.rs	target-and-source-present	MCP_server_collection	MCP_server_collection	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4231	29558	warp-drive	app/src/drive/settings.rs	target-and-source-present	HasAutoOpenedWelcomeFolder	HasAutoOpenedWelcomeFolder	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
4232	29565	warp-drive	app/src/drive/settings.rs	target-and-source-present	The sort order for items in Warp Drive.	The sort order for items in Warp Drive.	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4233	29572	warp-drive	app/src/drive/settings.rs	target-and-source-present	Whether Warp Drive is enabled.	Whether Warp Drive is enabled.	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4234	29579	warp-drive	app/src/drive/sharing/dialog/inheritance.rs	target-and-source-present	Inherited from 	Inherited from 	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4240	29621	warp-drive	app/src/drive/sharing/dialog/mod.rs	target-and-source-present	sharing_dialog_guest_access_button_{}_{}	sharing_dialog_guest_access_button_{}_{}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4243	29642	warp-drive	app/src/drive/sharing/dialog/mod.rs	target-and-source-present	Unable to upgrade handle to TerminalView when removing guest from session	Unable to upgrade handle to TerminalView when removing guest from session	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4244	29649	warp-drive	app/src/drive/sharing/dialog/mod.rs	target-and-source-present	Unable to upgrade handle to TerminalView when setting guest ACL for session	Unable to upgrade handle to TerminalView when setting guest ACL for session	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4245	29656	warp-drive	app/src/drive/sharing/dialog/mod.rs	target-and-source-present	AI conversation {:?} has no server_id for permission update	AI conversation {:?} has no server_id for permission update	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4246	29663	warp-drive	app/src/drive/sharing/dialog/mod.rs	target-and-source-present	invite_form_access_level_{}	invite_form_access_level_{}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4251	29698	warp-drive	app/src/drive/sharing/dialog/mod.rs	target-and-source-present	%l:%M%P	%l:%M%P	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4252	29705	warp-drive	app/src/drive/sharing/dialog/mod.rs	target-and-source-present	You must have full access to manage permissions. You have 	You must have full access to manage permissions. You have 	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4254	29719	warp-drive	app/src/drive/sharing/dialog/mod.rs	target-and-source-present	{PREFIX}{}{SUFFIX}	{PREFIX}{}{SUFFIX}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4257	29740	warp-drive	app/src/drive/sharing/dialog/mod.rs	target-and-source-present	link_sharing_menu_button_{}	link_sharing_menu_button_{}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4260	29761	warp-drive	app/src/drive/sharing/dialog/mod.rs	target-and-source-present	team_sharing_menu_button_{}	team_sharing_menu_button_{}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4264	29789	warp-drive	app/src/drive/sharing/dialog/mod.rs	target-and-source-present	warp-session-qr-code-{session_id}.png	warp-session-qr-code-{session_id}.png	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4265	29796	warp-drive	app/src/drive/sharing/dialog/mod.rs	target-and-source-present	warp-session-qr-code.png	warp-session-qr-code.png	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4271	29838	warp-drive	app/src/drive/sharing/dialog/mod.rs	target-and-source-present	AI conversation {:?} has no server_id for link permission update	AI conversation {:?} has no server_id for link permission update	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4285	29936	warp-drive	app/src/drive/workflows/enum_creation_dialog.rs	missing-in-current-source	# Enter a shell command that generates variants, delimited by newlines.nngit branch -a	# Enter a shell command that generates variants, delimited by newlines.nngit branch -a	needs-owner-review-source-state	Current-source string did not match audit source exactly; treat as escaped/newline or source drift queue before editing.
4286	29943	warp-drive	app/src/drive/workflows/modal.rs	missing-in-current-source	"echo ""Hello {{your_name}}"" # insert arguments with curly bracesn# enter a single-line command or an entire shell script"	"echo ""Hello {{your_name}}"" # insert arguments with curly bracesn# enter a single-line command or an entire shell script"	needs-owner-review-source-state	Current-source string did not match audit source exactly; treat as escaped/newline or source drift queue before editing.
4288	29957	warp-drive	app/src/drive/workflows/modal.rs	target-and-source-present	{{{{{argument_name}}}}}	{{{{{argument_name}}}}}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4291	29978	warp-drive	app/src/drive/workflows/workflow_arg_selector.rs	target-and-source-present	WorkflowArgSelector	WorkflowArgSelector	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
4293	29992	other-reviewed	app/src/tab_configs/branch_picker.rs	target-and-source-present	BranchPicker	BranchPicker	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
4294	29999	other-reviewed	app/src/tab_configs/new_worktree_modal.rs	target-and-source-present	my-feature-branch	my-feature-branch	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4295	30006	other-reviewed	app/src/tab_configs/params_modal.rs	target-and-source-present	tab_config_param_field_{index}	tab_config_param_field_{index}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4296	30013	other-reviewed	app/src/tab_configs/repo_picker.rs	target-and-source-present	RepoPicker	RepoPicker	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
4297	30020	other-reviewed	app/src/tab_configs/session_config.rs	target-and-source-present	Claude	Claude	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4298	30027	other-reviewed	app/src/tab_configs/session_config.rs	target-and-source-present	Codex	Codex	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4299	30034	other-reviewed	app/src/tab_configs/session_config.rs	target-and-source-present	Gemini	Gemini	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4300	30041	other-reviewed	app/src/tab_configs/session_config.rs	target-and-source-present	my-feature-branch	my-feature-branch	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4301	30048	other-reviewed	app/src/tab_configs/session_config.rs	target-and-source-present	{{{{{name}}}}}	{{{{{name}}}}}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4302	30055	other-reviewed	app/src/tab_configs/session_config.rs	target-and-source-present	{prefix}: {repo}	{prefix}: {repo}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4303	30062	other-reviewed	app/src/tab_configs/session_config.rs	target-and-source-present	git worktree add -b {autogenerated_branch_name} {worktree_path}	git worktree add -b {autogenerated_branch_name} {worktree_path}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4304	30069	other-reviewed	app/src/tab_configs/session_config.rs	target-and-source-present	cd {worktree_path}	cd {worktree_path}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4305	30076	other-reviewed	app/src/tab_configs/session_config.rs	target-and-source-present	git worktree add -b {worktree_branch_name} {worktree_path}	git worktree add -b {worktree_branch_name} {worktree_path}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4306	30083	other-reviewed	app/src/tab_configs/session_config.rs	target-and-source-present	.git	.git	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4308	30097	other-reviewed	app/src/tab_configs/session_config.rs	target-and-source-present	p{counter}	p{counter}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4309	30104	other-reviewed	app/src/tab_configs/tab_config.rs	target-and-source-present	{{{{{name}}}}}	{{{{{name}}}}}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4310	30111	other-reviewed	app/src/tab_configs/tab_config.rs	target-and-source-present	git worktree	git worktree	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4311	30118	other-reviewed	app/src/tab_configs/tab_config.rs	target-and-source-present	panes array is empty	panes array is empty	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4312	30125	other-reviewed	app/src/tab_configs/tab_config.rs	target-and-source-present	duplicate pane IDs detected	duplicate pane IDs detected	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4313	30132	other-reviewed	app/src/tab_configs/tab_config.rs	target-and-source-present	split node '{}' is missing 'children'	split node '{}' is missing 'children'	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4314	30139	other-reviewed	app/src/tab_configs/tab_config.rs	target-and-source-present	split node '{}' must have at least 2 children, got {}	split node '{}' must have at least 2 children, got {}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4315	30146	other-reviewed	app/src/tab_configs/tab_config.rs	target-and-source-present	split node '{}' references unknown child '{}'	split node '{}' references unknown child '{}'	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4316	30153	other-reviewed	app/src/tab_configs/tab_config.rs	target-and-source-present	leaf pane '{}' is missing required 'type' field	leaf pane '{}' is missing required 'type' field	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4317	30160	other-reviewed	app/src/tab_configs/tab_config.rs	target-and-source-present	git worktree add -b {worktree_branch_name} {worktree_path} {base_branch}	git worktree add -b {worktree_branch_name} {worktree_path} {base_branch}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4318	30167	other-reviewed	app/src/tab_configs/tab_config.rs	target-and-source-present	cd {worktree_path}	cd {worktree_path}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4319	30174	other-reviewed	app/src/tab_configs/tab_config.rs	target-and-source-present	git worktree add -b {autogenerated_branch_name} {worktree_path} {base_branch}	git worktree add -b {autogenerated_branch_name} {worktree_path} {base_branch}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4320	30181	other-reviewed	app/src/themes/default_themes.rs	target-and-source-present	Dark	Dark	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4321	30188	other-reviewed	app/src/themes/default_themes.rs	target-and-source-present	Light	Light	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4322	30195	other-reviewed	app/src/themes/default_themes.rs	target-and-source-present	Dracula	Dracula	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4323	30202	other-reviewed	app/src/themes/default_themes.rs	target-and-source-present	Solarized Light	Solarized Light	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4324	30209	other-reviewed	app/src/themes/default_themes.rs	target-and-source-present	Solarized Dark	Solarized Dark	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4325	30216	other-reviewed	app/src/themes/default_themes.rs	target-and-source-present	Gruvbox Dark	Gruvbox Dark	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4326	30223	other-reviewed	app/src/themes/default_themes.rs	target-and-source-present	Gruvbox Light	Gruvbox Light	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4327	30230	other-reviewed	app/src/themes/default_themes.rs	target-and-source-present	Cyber Wave	Cyber Wave	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4328	30237	other-reviewed	app/src/themes/default_themes.rs	target-and-source-present	Willow Dream	Willow Dream	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4329	30244	other-reviewed	app/src/themes/default_themes.rs	target-and-source-present	Fancy Dracula	Fancy Dracula	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4330	30251	other-reviewed	app/src/themes/default_themes.rs	target-and-source-present	Phenomenon	Phenomenon	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4331	30258	other-reviewed	app/src/themes/default_themes.rs	target-and-source-present	Jellyfish	Jellyfish	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4332	30265	other-reviewed	app/src/themes/default_themes.rs	target-and-source-present	Koi	Koi	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4333	30272	other-reviewed	app/src/themes/default_themes.rs	target-and-source-present	Leafy	Leafy	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4334	30279	other-reviewed	app/src/themes/default_themes.rs	target-and-source-present	Marble	Marble	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4335	30286	other-reviewed	app/src/themes/default_themes.rs	target-and-source-present	Pink City	Pink City	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4336	30293	other-reviewed	app/src/themes/default_themes.rs	target-and-source-present	Snowy	Snowy	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4337	30300	other-reviewed	app/src/themes/default_themes.rs	target-and-source-present	Red Rock	Red Rock	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4338	30307	other-reviewed	app/src/themes/default_themes.rs	target-and-source-present	Dark City	Dark City	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4339	30314	other-reviewed	app/src/themes/default_themes.rs	target-and-source-present	Warp Referral	Warp Referral	intentional-preserve-product-provider-term	Glossary/product/provider term is intentionally preserved.
4340	30321	other-reviewed	app/src/themes/default_themes.rs	target-and-source-present	Solar Flare	Solar Flare	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4341	30328	other-reviewed	app/src/themes/default_themes.rs	target-and-source-present	Adeberry	Adeberry	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
4342	30335	other-reviewed	app/src/themes/default_themes.rs	target-and-source-present	Received Referral Reward	Received Referral Reward	needs-owner-review-internal-log-or-error	English diagnostic/error string may be internal or runtime-visible; needs owner visibility decision.
4343	30342	other-reviewed	app/src/themes/theme_chooser.rs	target-and-source-present	ThemeChooser	ThemeChooser	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
4344	30349	other-reviewed	app/src/themes/theme_creator.rs	target-and-source-present	#{:x}	#{:x}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4345	30356	other-reviewed	app/src/themes/theme_creator_body.rs	target-and-source-present	{theme_name}.yaml	{theme_name}.yaml	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4346	30363	other-reviewed	app/src/themes/theme_creator_body.rs	target-and-source-present	{theme_name}.{image_extension}	{theme_name}.{image_extension}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4347	30370	other-reviewed	app/src/themes/theme_creator_body.rs	target-and-source-present	ThemeCreatorBody	ThemeCreatorBody	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
4348	30377	other-reviewed	app/src/themes/theme_deletion_body.rs	target-and-source-present	ThemeDeletionBody	ThemeDeletionBody	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
4350	30391	onboarding	crates/onboarding/src/bin/main.rs	target-and-source-present	claude-sonnet	claude-sonnet	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4354	30421	onboarding	crates/onboarding/src/bin/main.rs	target-and-source-present	Claude Sonnet	Claude Sonnet	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4355	30428	onboarding	crates/onboarding/src/bin/main.rs	target-and-source-present	gpt-4o	gpt-4o	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4356	30435	onboarding	crates/onboarding/src/bin/main.rs	target-and-source-present	GPT-4o	GPT-4o	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4357	30442	onboarding	crates/onboarding/src/bin/main.rs	target-and-source-present	Phenomenon	Phenomenon	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4358	30449	onboarding	crates/onboarding/src/bin/main.rs	target-and-source-present	Dark	Dark	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4359	30456	onboarding	crates/onboarding/src/bin/main.rs	target-and-source-present	Light	Light	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4360	30463	onboarding	crates/onboarding/src/bin/main.rs	target-and-source-present	Adeberry	Adeberry	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4363	30484	onboarding	crates/onboarding/src/bin/main.rs	target-and-source-present	Segoe UI	Segoe UI	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4364	30491	onboarding	crates/onboarding/src/bin/main.rs	target-and-source-present	Roboto	Roboto	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4365	30498	onboarding	crates/onboarding/src/callout/model.rs	target-and-source-present	Skip action called in an unskippable state: {:?}	Skip action called in an unskippable state: {:?}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4366	30505	onboarding	crates/onboarding/src/callout/model.rs	target-and-source-present	BackToTerminal action called in an invalid state: {:?}	BackToTerminal action called in an invalid state: {:?}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4367	30512	onboarding	crates/onboarding/src/callout/model.rs	target-and-source-present	git status	git status	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4371	30540	onboarding	crates/onboarding/src/callout/model.rs	target-and-source-present	start_onboarding called with current state: {:?}	start_onboarding called with current state: {:?}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4372	30547	onboarding	crates/onboarding/src/callout/view.rs	target-and-source-present	Onboarding callout view: onboarding is active but state has no callout options: {:?}	Onboarding callout view: onboarding is active but state has no callout options: {:?}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4373	30554	onboarding	crates/onboarding/src/slides/agent_slide.rs	target-and-source-present	agent_slide_model_row_{index}	agent_slide_model_row_{index}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4374	30561	onboarding	crates/onboarding/src/slides/free_user_no_ai_slide.rs	target-and-source-present	u{2022} {item_text}	u{2022} {item_text}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4375	30568	onboarding	crates/onboarding/src/slides/theme_picker_slide.rs	target-and-source-present	Theme {}	Theme {}	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4376	30575	onboarding	crates/onboarding/src/slides/theme_picker_slide.rs	target-and-source-present	Phenomenon	Phenomenon	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4377	30582	onboarding	crates/onboarding/src/slides/theme_picker_slide.rs	target-and-source-present	Dark	Dark	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4378	30589	onboarding	crates/onboarding/src/slides/theme_picker_slide.rs	target-and-source-present	Light	Light	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
4379	30596	onboarding	crates/onboarding/src/slides/theme_picker_slide.rs	target-and-source-present	Adeberry	Adeberry	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
